Date,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester,Unknown (Daily),Total
2020-04-07,10,18,16,1,37,17,56,3,69,0,36,25,42,24,2,356
2020-04-08,11,20,23,1,52,21,64,3,80,0,42,32,50,30,4,433
2020-04-09,12,21,28,1,61,22,81,3,93,0,52,38,56,31,4,503
2020-04-10,13,22,33,1,80,22,88,4,109,0,66,46,73,38,4,599
2020-04-11,15,22,39,1,92,23,94,5,137,0,81,50,81,42,4,686
2020-04-12,16,22,43,1,102,25,104,6,149,0,93,54,88,49,4,756
2020-04-13,17,22,46,1,114,25,115,6,163,0,107,65,106,51,6,844
2020-04-14,17,23,53,1,126,25,134,6,188,0,125,76,120,57,6,957
2020-04-15,17,23,55,1,142,25,153,6,227,0,147,89,149,72,2,1108
2020-04-16,17,25,62,1,161,25,163,6,264,0,173,93,169,82,4,1245
2020-04-17,19,25,74,1,180,25,183,7,300,0,194,104,194,90,8,1404
2020-04-18,20,26,81,1,196,25,201,8,341,0,214,121,218,100,8,1560
2020-04-19,21,28,85,1,211,26,211,8,381,0,241,130,244,111,8,1706
2020-04-20,21,28,88,1,225,26,224,9,402,0,263,134,263,117,8,1809
2020-04-21,22,29,96,1,245,29,244,10,428,0,290,141,285,133,8,1961
2020-04-22,27,31,104,1,271,30,271,14,494,0,312,157,318,143,9,2182
2020-04-23,28,31,109,1,292,30,287,15,545,0,335,176,346,155,10,2360
2020-04-24,32,31,126,1,319,31,299,17,585,0,368,197,372,166,12,2556
2020-04-25,37,31,130,1,336,32,315,20,629,0,400,212,391,183,13,2730
2020-04-26,37,31,134,1,350,33,327,24,670,0,418,230,424,206,14,2899
2020-04-27,39,31,137,1,359,33,337,26,700,0,429,240,448,215,8,3003
2020-04-28,39,31,155,1,383,33,346,27,731,0,448,256,469,229,5,3153
2020-04-29,40,34,165,1,425,35,358,26,802,0,484,273,504,253,5,3405
2020-04-30,43,35,172,1,448,37,373,30,845,0,499,285,524,265,5,3562
2020-05-01,45,36,182,1,460,37,381,32,885,0,522,301,550,278,6,3716
2020-05-02,46,36,187,1,484,37,387,33,923,0,535,312,569,292,4,3846
2020-05-03,47,36,198,1,499,37,398,36,972,0,550,323,588,312,7,4004
2020-05-04,47,36,205,1,512,37,408,36,997,0,555,333,596,320,7,4090
2020-05-05,48,36,210,1,527,37,415,47,1028,0,575,341,609,331,7,4212
2020-05-06,55,37,223,1,561,38,425,47,1070,0,596,357,642,365,3,4420
2020-05-07,57,37,232,1,578,39,434,48,1103,0,608,364,663,385,3,4552
2020-05-08,61,37,252,1,601,41,441,48,1132,0,623,375,683,404,3,4702
2020-05-09,66,37,260,1,625,42,445,50,1169,0,635,384,703,420,3,4840
2020-05-10,68,37,266,1,644,42,449,55,1207,0,650,393,718,444,5,4979
2020-05-11,73,37,274,1,669,42,458,57,1235,0,661,408,731,457,5,5108
2020-05-12,73,37,278,1,678,42,464,57,1244,0,663,409,732,459,4,5141
2020-05-13,79,37,288,1,704,43,475,64,1282,0,676,424,749,489,4,5315
2020-05-14,82,37,297,1,725,43,487,66,1327,0,696,435,759,524,3,5482
2020-05-15,86,37,303,1,751,43,494,67,1347,0,710,444,768,538,3,5592
2020-05-16,90,37,313,1,766,44,506,69,1370,0,719,455,778,554,3,5705
2020-05-17,93,37,320,1,776,44,516,72,1394,0,725,460,787,569,3,5797
2020-05-18,95,37,324,1,790,45,517,72,1412,0,728,464,793,581,3,5862
2020-05-19,96,37,330,1,797,45,521,73,1436,0,735,470,797,597,3,5938
2020-05-20,98,37,338,1,817,46,526,76,1462,0,749,481,807,625,3,6066
2020-05-21,99,37,345,1,831,46,533,76,1478,0,759,487,813,640,3,6148
2020-05-22,103,38,353,1,842,46,537,76,1496,0,771,492,818,652,3,6228
2020-05-23,107,38,362,1,848,46,541,77,1512,0,774,501,827,667,3,6304
2020-05-24,109,38,369,1,859,47,542,78,1518,0,782,508,838,679,4,6372
2020-05-25,110,38,375,1,863,47,543,80,1527,0,784,513,839,692,4,6416
2020-05-26,110,39,382,1,870,47,546,82,1535,0,791,522,844,700,4,6473
2020-05-27,111,40,390,1,878,47,554,82,1549,0,794,530,850,716,5,6547
2020-05-28,115,40,399,1,895,47,562,83,1564,0,799,539,852,738,6,6640
2020-05-29,116,40,404,1,906,47,569,86,1583,0,811,542,861,746,6,6718
2020-05-30,115,40,410,1,909,47,572,88,1596,0,815,548,868,753,6,6768
2020-05-31,116,40,415,1,925,47,580,89,1615,0,821,552,871,767,7,6846
2020-06-01,118,40,429,1,968,47,601,89,1650,0,841,562,896,779,14,7035
2020-06-02,118,40,435,1,971,47,603,90,1663,0,845,568,902,790,12,7085
2020-06-03,121,40,441,1,979,47,608,93,1676,0,850,572,908,804,12,7152
2020-06-04,121,40,452,1,986,47,609,94,1689,0,854,579,913,806,10,7201
2020-06-05,123,40,455,1,990,48,610,95,1695,0,855,581,922,813,7,7235
2020-06-06,123,40,467,1,998,48,618,95,1701,0,859,588,923,820,8,7289
2020-06-07,123,40,469,1,1003,48,620,98,1705,0,863,591,924,823,8,7316
2020-06-08,123,41,473,1,1006,49,622,100,1711,0,866,595,931,827,8,7353
2020-06-09,123,41,481,1,1016,49,625,100,1720,0,870,603,935,834,10,7408
2020-06-10,127,41,487,1,1024,49,629,100,1725,0,873,608,936,844,10,7454
2020-06-11,127,41,492,1,1031,49,633,100,1733,0,876,612,938,849,10,7492
2020-06-12,127,42,496,1,1035,50,632,103,1744,0,882,619,941,856,10,7538
2020-06-13,128,42,507,1,1041,50,637,103,1748,0,882,621,943,863,10,7576
2020-06-14,130,42,516,1,1046,51,640,103,1756,0,888,621,950,870,10,7624
2020-06-15,130,42,518,1,1051,51,640,103,1763,0,890,626,951,871,10,7647
2020-06-16,131,42,520,1,1052,51,642,103,1765,0,891,629,952,877,9,7665
2020-06-17,133,42,528,1,1057,52,645,105,1781,0,903,631,959,888,9,7734
2020-06-18,135,42,534,1,1063,52,646,106,1788,0,905,636,963,889,10,7770
2020-06-19,136,44,537,1,1065,52,647,106,1791,0,907,640,971,893,10,7800
2020-06-20,136,44,539,1,1071,53,648,106,1801,0,908,641,973,897,10,7828
2020-06-21,137,44,542,1,1076,53,648,107,1807,0,912,643,978,900,10,7858
2020-06-22,138,44,546,1,1077,53,647,107,1809,0,914,646,979,903,10,7874
2020-06-23,140,44,548,1,1081,53,649,107,1812,0,919,647,976,905,8,7890
2020-06-24,140,44,555,1,1083,53,654,108,1820,0,923,651,984,914,8,7938
2020-06-25,141,44,558,1,1086,54,654,109,1825,0,924,654,990,917,6,7963
2020-06-26,143,44,565,1,1092,54,657,109,1839,0,927,658,997,920,7,8013
2020-06-27,143,44,567,1,1096,54,659,110,1849,0,927,660,1004,920,7,8041
2020-06-28,144,44,568,1,1099,54,663,110,1855,0,927,663,1004,921,7,8060
2020-06-29,145,44,575,1,1106,54,664,110,1862,0,930,666,1007,924,7,8095
2020-06-30,144,44,574,1,1104,54,655,110,1851,0,923,665,1002,920,7,8054
2020-07-01,145,44,575,1,1104,55,659,112,1858,0,930,663,1004,924,7,8081
2020-07-02,147,44,587,1,1111,55,661,114,1867,0,933,663,1008,934,7,8132
